People,Families,Locations,Events,TextChunk
Kevin Ngo,Product,"Sydney, Australia",Engaged in Blockchain for Finance Webinar,"Kevin Ngo is part of the Product team, based in Sydney, Australia, and recently engaged in blockchain for finance webinar."
Olivia Ngo,Marketing,"Berlin, Germany",Joined International Business Roundtable,"Olivia Ngo is part of the Marketing team, based in Berlin, Germany, and recently joined international business roundtable."
Quinn Ly,Finance,"Bangalore, India",Completed Leadership Training Bootcamp,"Quinn Ly is part of the Finance team, based in Bangalore, India, and recently completed leadership training bootcamp."
Edward Truong,Sales,"Tokyo, Japan",Participated in Regional Hackathon 2024,"Edward Truong is part of the Sales team, based in Tokyo, Japan, and recently participated in regional hackathon 2024."
Diana Ton,Sales,Singapore,Spoke at the Annual Finance Forum,"Diana Ton is part of the Sales team, based in Singapore, and recently spoke at the annual finance forum."
Samuel Do,Human Resources,"Berlin, Germany",Joined Global Marketing Summit,"Samuel Do is part of the Human Resources team, based in Berlin, Germany, and recently joined global marketing summit."
Nathan Truong,Marketing,"Shanghai, China",Completed Advanced Cybersecurity Training,"Nathan Truong is part of the Marketing team, based in Shanghai, China, and recently completed advanced cybersecurity training."
Kevin Dang,Legal,"Mumbai, India",Completed Advanced Cybersecurity Training,"Kevin Dang is part of the Legal team, based in Mumbai, India, and recently completed advanced cybersecurity training."
Victor Tran,Operations,"Da Nang, Vietnam",Attended Remote Work Productivity Webinar,"Victor Tran is part of the Operations team, based in Da Nang, Vietnam, and recently attended remote work productivity webinar."
Isaac Truong,Data Science,"Melbourne, Australia",Volunteered at Community Tech Fair,"Isaac Truong is part of the Data Science team, based in Melbourne, Australia, and recently volunteered at community tech fair."
Alice Huynh,Engineering,"Paris, France",Engaged in Blockchain for Finance Webinar,"Alice Huynh is part of the Engineering team, based in Paris, France, and recently engaged in blockchain for finance webinar."
Paul Pham,Marketing,"Sydney, Australia",Joined Global Marketing Summit,"Paul Pham is part of the Marketing team, based in Sydney, Australia, and recently joined global marketing summit."
Diana Truong,Management,Singapore,Attended AI for Business Leaders Webinar,"Diana Truong is part of the Management team, based in Singapore, and recently attended ai for business leaders webinar."
Paul Mai,Customer Success,Singapore,Joined International Business Roundtable,"Paul Mai is part of the Customer Success team, based in Singapore, and recently joined international business roundtable."
Bob Huynh,Legal,"Melbourne, Australia",Completed Emotional Intelligence Training,"Bob Huynh is part of the Legal team, based in Melbourne, Australia, and recently completed emotional intelligence training."
Olivia Vu,Legal,"Bangkok, Thailand",Completed Advanced Cybersecurity Training,"Olivia Vu is part of the Legal team, based in Bangkok, Thailand, and recently completed advanced cybersecurity training."
Victor Ngo,Human Resources,"Beijing, China",Presented at Machine Learning Meetup,"Victor Ngo is part of the Human Resources team, based in Beijing, China, and recently presented at machine learning meetup."
Tina Mai,Legal,"Hanoi, Vietnam",Attended Agile Project Management Workshop,"Tina Mai is part of the Legal team, based in Hanoi, Vietnam, and recently attended agile project management workshop."
George Trinh,Human Resources,"Paris, France",Finished Data Analytics with Python Course,"George Trinh is part of the Human Resources team, based in Paris, France, and recently finished data analytics with python course."
Alice Tran,Sales,"Seoul, South Korea",Spoke at the Annual Finance Forum,"Alice Tran is part of the Sales team, based in Seoul, South Korea, and recently spoke at the annual finance forum."
Laura Phan,Human Resources,"Tokyo, Japan",Completed Emotional Intelligence Training,"Laura Phan is part of the Human Resources team, based in Tokyo, Japan, and recently completed emotional intelligence training."
Diana Ta,Operations,"Mumbai, India",Completed Leadership Training Bootcamp,"Diana Ta is part of the Operations team, based in Mumbai, India, and recently completed leadership training bootcamp."
Olivia Bui,Data Science,"Hanoi, Vietnam",Volunteered at Community Tech Fair,"Olivia Bui is part of the Data Science team, based in Hanoi, Vietnam, and recently volunteered at community tech fair."
Nathan Ta,Product,"New Delhi, India",Attended Agile Project Management Workshop,"Nathan Ta is part of the Product team, based in New Delhi, India, and recently attended agile project management workshop."
Bob Mai,Management,"Manila, Philippines",Completed Emotional Intelligence Training,"Bob Mai is part of the Management team, based in Manila, Philippines, and recently completed emotional intelligence training."
George Huynh,Marketing,"Mumbai, India",Presented at Internal Innovation Day,"George Huynh is part of the Marketing team, based in Mumbai, India, and recently presented at internal innovation day."
Olivia Huynh,Engineering,"Hanoi, Vietnam",Spoke at the Annual Finance Forum,"Olivia Huynh is part of the Engineering team, based in Hanoi, Vietnam, and recently spoke at the annual finance forum."
Paul Luong,Data Science,Singapore,Attended AI for Business Leaders Webinar,"Paul Luong is part of the Data Science team, based in Singapore, and recently attended ai for business leaders webinar."
Julia Luong,Finance,"Shanghai, China",Participated in Corporate Social Responsibility Event,"Julia Luong is part of the Finance team, based in Shanghai, China, and recently participated in corporate social responsibility event."
Nathan Luong,Management,"Bangkok, Thailand",Joined Cross-Cultural Communication Workshop,"Nathan Luong is part of the Management team, based in Bangkok, Thailand, and recently joined cross-cultural communication workshop."
Alice Le,Legal,"Da Nang, Vietnam",Finished Data Analytics with Python Course,"Alice Le is part of the Legal team, based in Da Nang, Vietnam, and recently finished data analytics with python course."
Diana Pham,Data Science,"Ho Chi Minh City, Vietnam",Joined Team Building Offsite in Da Nang,"Diana Pham is part of the Data Science team, based in Ho Chi Minh City, Vietnam, and recently joined team building offsite in da nang."
Victor Ly,Operations,"Berlin, Germany",Spoke at the Annual Finance Forum,"Victor Ly is part of the Operations team, based in Berlin, Germany, and recently spoke at the annual finance forum."
Rachel Vu,Sales,"Da Nang, Vietnam",Completed AWS Cloud Practitioner Certification,"Rachel Vu is part of the Sales team, based in Da Nang, Vietnam, and recently completed aws cloud practitioner certification."
Isaac Huynh,Finance,"London, UK",Joined Global Marketing Summit,"Isaac Huynh is part of the Finance team, based in London, UK, and recently joined global marketing summit."
Nathan Dang,Customer Success,"Sydney, Australia",Attended AI for Business Leaders Webinar,"Nathan Dang is part of the Customer Success team, based in Sydney, Australia, and recently attended ai for business leaders webinar."
Alice Tran,Marketing,"Manila, Philippines",Spoke at the Annual Finance Forum,"Alice Tran is part of the Marketing team, based in Manila, Philippines, and recently spoke at the annual finance forum."
Hannah Ly,Operations,"Ho Chi Minh City, Vietnam",Finished Data Analytics with Python Course,"Hannah Ly is part of the Operations team, based in Ho Chi Minh City, Vietnam, and recently finished data analytics with python course."
Julia Hoang,Product,"New Delhi, India",Spoke at the Annual Finance Forum,"Julia Hoang is part of the Product team, based in New Delhi, India, and recently spoke at the annual finance forum."
Hannah Nguyen,Customer Success,"New Delhi, India",Joined International Business Roundtable,"Hannah Nguyen is part of the Customer Success team, based in New Delhi, India, and recently joined international business roundtable."
Laura Ngo,Engineering,"Bangalore, India",Attended UX/UI Design Masterclass,"Laura Ngo is part of the Engineering team, based in Bangalore, India, and recently attended ux/ui design masterclass."
Paul Ton,Sales,"Kuala Lumpur, Malaysia",Engaged in Blockchain for Finance Webinar,"Paul Ton is part of the Sales team, based in Kuala Lumpur, Malaysia, and recently engaged in blockchain for finance webinar."
Diana Ton,Human Resources,"Da Nang, Vietnam",Spoke at the Annual Finance Forum,"Diana Ton is part of the Human Resources team, based in Da Nang, Vietnam, and recently spoke at the annual finance forum."
Hannah Bui,Data Science,"Kuala Lumpur, Malaysia",Participated in Regional Hackathon 2024,"Hannah Bui is part of the Data Science team, based in Kuala Lumpur, Malaysia, and recently participated in regional hackathon 2024."
Hannah Huynh,Customer Success,"Sydney, Australia",Participated in Regional Hackathon 2024,"Hannah Huynh is part of the Customer Success team, based in Sydney, Australia, and recently participated in regional hackathon 2024."
Samuel Huynh,Legal,"Melbourne, Australia",Completed Leadership Training Bootcamp,"Samuel Huynh is part of the Legal team, based in Melbourne, Australia, and recently completed leadership training bootcamp."
Julia Pham,Management,"Melbourne, Australia",Presented at Machine Learning Meetup,"Julia Pham is part of the Management team, based in Melbourne, Australia, and recently presented at machine learning meetup."
Bob Tran,Finance,"Melbourne, Australia",Participated in Corporate Social Responsibility Event,"Bob Tran is part of the Finance team, based in Melbourne, Australia, and recently participated in corporate social responsibility event."
George Ly,Operations,"Beijing, China",Finished Data Analytics with Python Course,"George Ly is part of the Operations team, based in Beijing, China, and recently finished data analytics with python course."
Edward Tran,Operations,"Da Nang, Vietnam",Presented at Internal Innovation Day,"Edward Tran is part of the Operations team, based in Da Nang, Vietnam, and recently presented at internal innovation day."
Olivia Do,Operations,"Da Nang, Vietnam",Volunteered at Community Tech Fair,"Olivia Do is part of the Operations team, based in Da Nang, Vietnam, and recently volunteered at community tech fair."
Charlie Ngo,Product,"Melbourne, Australia",Volunteered at Community Tech Fair,"Charlie Ngo is part of the Product team, based in Melbourne, Australia, and recently volunteered at community tech fair."
Laura Dang,Marketing,"Bangalore, India",Attended UX/UI Design Masterclass,"Laura Dang is part of the Marketing team, based in Bangalore, India, and recently attended ux/ui design masterclass."
Olivia Ngo,Operations,"Bangkok, Thailand",Attended AI for Business Leaders Webinar,"Olivia Ngo is part of the Operations team, based in Bangkok, Thailand, and recently attended ai for business leaders webinar."
Kevin Hoang,Human Resources,"Sydney, Australia",Attended UX/UI Design Masterclass,"Kevin Hoang is part of the Human Resources team, based in Sydney, Australia, and recently attended ux/ui design masterclass."
Hannah Le,Sales,"New Delhi, India",Volunteered at Community Tech Fair,"Hannah Le is part of the Sales team, based in New Delhi, India, and recently volunteered at community tech fair."
Olivia Tran,Marketing,"Seoul, South Korea",Engaged in Blockchain for Finance Webinar,"Olivia Tran is part of the Marketing team, based in Seoul, South Korea, and recently engaged in blockchain for finance webinar."
Fiona Pham,Operations,"Hanoi, Vietnam",Presented at Machine Learning Meetup,"Fiona Pham is part of the Operations team, based in Hanoi, Vietnam, and recently presented at machine learning meetup."
Alice Luong,Human Resources,"Ho Chi Minh City, Vietnam",Joined Team Building Offsite in Da Nang,"Alice Luong is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently joined team building offsite in da nang."
Samuel Trinh,Legal,Singapore,Joined International Business Roundtable,"Samuel Trinh is part of the Legal team, based in Singapore, and recently joined international business roundtable."
Kevin Chau,Legal,"Jakarta, Indonesia",Joined Global Marketing Summit,"Kevin Chau is part of the Legal team, based in Jakarta, Indonesia, and recently joined global marketing summit."
Diana Luong,Operations,"Berlin, Germany",Finished Data Analytics with Python Course,"Diana Luong is part of the Operations team, based in Berlin, Germany, and recently finished data analytics with python course."
Julia Trinh,Engineering,"Tokyo, Japan",Spoke at the Annual Finance Forum,"Julia Trinh is part of the Engineering team, based in Tokyo, Japan, and recently spoke at the annual finance forum."
Alice Do,Finance,"Paris, France",Presented at Internal Innovation Day,"Alice Do is part of the Finance team, based in Paris, France, and recently presented at internal innovation day."
Paul Ly,Legal,"Sydney, Australia",Completed Leadership Training Bootcamp,"Paul Ly is part of the Legal team, based in Sydney, Australia, and recently completed leadership training bootcamp."
George Ngo,Operations,Singapore,Joined Team Building Offsite in Da Nang,"George Ngo is part of the Operations team, based in Singapore, and recently joined team building offsite in da nang."
Tina Do,Product,"London, UK",Presented at Internal Innovation Day,"Tina Do is part of the Product team, based in London, UK, and recently presented at internal innovation day."
Laura Ta,Human Resources,"Manila, Philippines",Attended Remote Work Productivity Webinar,"Laura Ta is part of the Human Resources team, based in Manila, Philippines, and recently attended remote work productivity webinar."
Bob Phan,Customer Success,"Paris, France",Spoke at the Annual Finance Forum,"Bob Phan is part of the Customer Success team, based in Paris, France, and recently spoke at the annual finance forum."
Rachel Mai,Human Resources,"Shanghai, China",Participated in Corporate Social Responsibility Event,"Rachel Mai is part of the Human Resources team, based in Shanghai, China, and recently participated in corporate social responsibility event."
Samuel Ly,Customer Success,"Beijing, China",Presented at Machine Learning Meetup,"Samuel Ly is part of the Customer Success team, based in Beijing, China, and recently presented at machine learning meetup."
Isaac Truong,Sales,"Jakarta, Indonesia",Completed Advanced Cybersecurity Training,"Isaac Truong is part of the Sales team, based in Jakarta, Indonesia, and recently completed advanced cybersecurity training."
Samuel Do,Customer Success,"Berlin, Germany",Engaged in Blockchain for Finance Webinar,"Samuel Do is part of the Customer Success team, based in Berlin, Germany, and recently engaged in blockchain for finance webinar."
Alice Bui,Human Resources,"London, UK",Attended AI for Business Leaders Webinar,"Alice Bui is part of the Human Resources team, based in London, UK, and recently attended ai for business leaders webinar."
Victor Trinh,Legal,"Bangalore, India",Volunteered at Community Tech Fair,"Victor Trinh is part of the Legal team, based in Bangalore, India, and recently volunteered at community tech fair."
George Le,Data Science,"Sydney, Australia",Attended Remote Work Productivity Webinar,"George Le is part of the Data Science team, based in Sydney, Australia, and recently attended remote work productivity webinar."
Rachel Do,Data Science,"Bangkok, Thailand",Completed Emotional Intelligence Training,"Rachel Do is part of the Data Science team, based in Bangkok, Thailand, and recently completed emotional intelligence training."
George Bui,Data Science,"Paris, France",Joined Cross-Cultural Communication Workshop,"George Bui is part of the Data Science team, based in Paris, France, and recently joined cross-cultural communication workshop."
Paul Hoang,Sales,"Sydney, Australia",Attended UX/UI Design Masterclass,"Paul Hoang is part of the Sales team, based in Sydney, Australia, and recently attended ux/ui design masterclass."
Nathan Le,Sales,"London, UK",Joined Global Marketing Summit,"Nathan Le is part of the Sales team, based in London, UK, and recently joined global marketing summit."
Hannah Hoang,Data Science,"Manila, Philippines",Participated in Regional Hackathon 2024,"Hannah Hoang is part of the Data Science team, based in Manila, Philippines, and recently participated in regional hackathon 2024."
Olivia Dang,Customer Success,"Shanghai, China",Presented at Machine Learning Meetup,"Olivia Dang is part of the Customer Success team, based in Shanghai, China, and recently presented at machine learning meetup."
Tina Ton,Finance,"Beijing, China",Participated in Regional Hackathon 2024,"Tina Ton is part of the Finance team, based in Beijing, China, and recently participated in regional hackathon 2024."
Fiona Ngo,Sales,"Bangalore, India",Volunteered at Community Tech Fair,"Fiona Ngo is part of the Sales team, based in Bangalore, India, and recently volunteered at community tech fair."
Rachel Bui,Customer Success,"Bangalore, India",Joined International Business Roundtable,"Rachel Bui is part of the Customer Success team, based in Bangalore, India, and recently joined international business roundtable."
Edward Trinh,Engineering,"Seoul, South Korea",Joined Team Building Offsite in Da Nang,"Edward Trinh is part of the Engineering team, based in Seoul, South Korea, and recently joined team building offsite in da nang."
Laura Chau,Legal,"Kuala Lumpur, Malaysia",Presented at Machine Learning Meetup,"Laura Chau is part of the Legal team, based in Kuala Lumpur, Malaysia, and recently presented at machine learning meetup."
Tina Ly,Sales,"Bangalore, India",Finished Data Analytics with Python Course,"Tina Ly is part of the Sales team, based in Bangalore, India, and recently finished data analytics with python course."
Kevin Dang,Product,"Kuala Lumpur, Malaysia",Completed Leadership Training Bootcamp,"Kevin Dang is part of the Product team, based in Kuala Lumpur, Malaysia, and recently completed leadership training bootcamp."
Hannah Dang,Engineering,"Paris, France",Completed AWS Cloud Practitioner Certification,"Hannah Dang is part of the Engineering team, based in Paris, France, and recently completed aws cloud practitioner certification."
Nathan Mai,Human Resources,"Mumbai, India",Attended AI for Business Leaders Webinar,"Nathan Mai is part of the Human Resources team, based in Mumbai, India, and recently attended ai for business leaders webinar."
Nathan Ta,Legal,"Sydney, Australia",Presented at Machine Learning Meetup,"Nathan Ta is part of the Legal team, based in Sydney, Australia, and recently presented at machine learning meetup."
Victor Le,Data Science,"Paris, France",Joined Cross-Cultural Communication Workshop,"Victor Le is part of the Data Science team, based in Paris, France, and recently joined cross-cultural communication workshop."
Hannah Chau,Customer Success,"Melbourne, Australia",Attended Remote Work Productivity Webinar,"Hannah Chau is part of the Customer Success team, based in Melbourne, Australia, and recently attended remote work productivity webinar."
Quinn Trinh,Finance,"Beijing, China",Joined Global Marketing Summit,"Quinn Trinh is part of the Finance team, based in Beijing, China, and recently joined global marketing summit."
Charlie Ly,Customer Success,"Bangalore, India",Attended UX/UI Design Masterclass,"Charlie Ly is part of the Customer Success team, based in Bangalore, India, and recently attended ux/ui design masterclass."
Fiona Truong,Finance,"Hanoi, Vietnam",Attended UX/UI Design Masterclass,"Fiona Truong is part of the Finance team, based in Hanoi, Vietnam, and recently attended ux/ui design masterclass."
Laura Luong,Customer Success,"Tokyo, Japan",Attended Agile Project Management Workshop,"Laura Luong is part of the Customer Success team, based in Tokyo, Japan, and recently attended agile project management workshop."
Nathan Hoang,Finance,"Da Nang, Vietnam",Joined Cross-Cultural Communication Workshop,"Nathan Hoang is part of the Finance team, based in Da Nang, Vietnam, and recently joined cross-cultural communication workshop."
Julia Chau,Legal,"Bangkok, Thailand",Joined International Business Roundtable,"Julia Chau is part of the Legal team, based in Bangkok, Thailand, and recently joined international business roundtable."
Tina Chau,Legal,"Sydney, Australia",Attended AI for Business Leaders Webinar,"Tina Chau is part of the Legal team, based in Sydney, Australia, and recently attended ai for business leaders webinar."
Tina Ta,Management,"Jakarta, Indonesia",Joined International Business Roundtable,"Tina Ta is part of the Management team, based in Jakarta, Indonesia, and recently joined international business roundtable."
Julia Ly,Product,"Seoul, South Korea",Attended UX/UI Design Masterclass,"Julia Ly is part of the Product team, based in Seoul, South Korea, and recently attended ux/ui design masterclass."
Laura Phan,Operations,"Tokyo, Japan",Joined Global Marketing Summit,"Laura Phan is part of the Operations team, based in Tokyo, Japan, and recently joined global marketing summit."
Nathan Pham,Legal,Singapore,Joined Team Building Offsite in Da Nang,"Nathan Pham is part of the Legal team, based in Singapore, and recently joined team building offsite in da nang."
Quinn Do,Operations,"Berlin, Germany",Volunteered at Community Tech Fair,"Quinn Do is part of the Operations team, based in Berlin, Germany, and recently volunteered at community tech fair."
George Ly,Sales,"Paris, France",Participated in Regional Hackathon 2024,"George Ly is part of the Sales team, based in Paris, France, and recently participated in regional hackathon 2024."
Fiona Mai,Product,"Da Nang, Vietnam",Completed Emotional Intelligence Training,"Fiona Mai is part of the Product team, based in Da Nang, Vietnam, and recently completed emotional intelligence training."
Tina Bui,Operations,"Tokyo, Japan",Attended Agile Project Management Workshop,"Tina Bui is part of the Operations team, based in Tokyo, Japan, and recently attended agile project management workshop."
Tina Ta,Marketing,"Paris, France",Presented at Machine Learning Meetup,"Tina Ta is part of the Marketing team, based in Paris, France, and recently presented at machine learning meetup."
Isaac Chau,Marketing,"Da Nang, Vietnam",Completed Advanced Cybersecurity Training,"Isaac Chau is part of the Marketing team, based in Da Nang, Vietnam, and recently completed advanced cybersecurity training."
Laura Truong,Finance,"Sydney, Australia",Presented at Machine Learning Meetup,"Laura Truong is part of the Finance team, based in Sydney, Australia, and recently presented at machine learning meetup."
Alice Le,Product,"New Delhi, India",Spoke at the Annual Finance Forum,"Alice Le is part of the Product team, based in New Delhi, India, and recently spoke at the annual finance forum."
Charlie Do,Finance,"Da Nang, Vietnam",Completed Emotional Intelligence Training,"Charlie Do is part of the Finance team, based in Da Nang, Vietnam, and recently completed emotional intelligence training."
Isaac Ly,Legal,"Tokyo, Japan",Completed Advanced Cybersecurity Training,"Isaac Ly is part of the Legal team, based in Tokyo, Japan, and recently completed advanced cybersecurity training."
George Ngo,Marketing,"Da Nang, Vietnam",Engaged in Blockchain for Finance Webinar,"George Ngo is part of the Marketing team, based in Da Nang, Vietnam, and recently engaged in blockchain for finance webinar."
Paul Pham,Management,"Jakarta, Indonesia",Engaged in Blockchain for Finance Webinar,"Paul Pham is part of the Management team, based in Jakarta, Indonesia, and recently engaged in blockchain for finance webinar."
Charlie Ta,Engineering,"Manila, Philippines",Joined Team Building Offsite in Da Nang,"Charlie Ta is part of the Engineering team, based in Manila, Philippines, and recently joined team building offsite in da nang."
Charlie Vu,Marketing,"Seoul, South Korea",Participated in Regional Hackathon 2024,"Charlie Vu is part of the Marketing team, based in Seoul, South Korea, and recently participated in regional hackathon 2024."
Paul Dang,Management,Singapore,Attended UX/UI Design Masterclass,"Paul Dang is part of the Management team, based in Singapore, and recently attended ux/ui design masterclass."
Kevin Mai,Customer Success,Singapore,Joined Cross-Cultural Communication Workshop,"Kevin Mai is part of the Customer Success team, based in Singapore, and recently joined cross-cultural communication workshop."
Olivia Ngo,Finance,"Paris, France",Participated in Corporate Social Responsibility Event,"Olivia Ngo is part of the Finance team, based in Paris, France, and recently participated in corporate social responsibility event."
Victor Ta,Legal,"Shanghai, China",Completed Emotional Intelligence Training,"Victor Ta is part of the Legal team, based in Shanghai, China, and recently completed emotional intelligence training."
Kevin Nguyen,Product,Singapore,Finished Data Analytics with Python Course,"Kevin Nguyen is part of the Product team, based in Singapore, and recently finished data analytics with python course."
Julia Ly,Management,"London, UK",Spoke at the Annual Finance Forum,"Julia Ly is part of the Management team, based in London, UK, and recently spoke at the annual finance forum."
Charlie Dang,Management,"Bangkok, Thailand",Completed Leadership Training Bootcamp,"Charlie Dang is part of the Management team, based in Bangkok, Thailand, and recently completed leadership training bootcamp."
Edward Nguyen,Human Resources,"Ho Chi Minh City, Vietnam",Engaged in Blockchain for Finance Webinar,"Edward Nguyen is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently engaged in blockchain for finance webinar."
Julia Ta,Marketing,"Da Nang, Vietnam",Presented at Machine Learning Meetup,"Julia Ta is part of the Marketing team, based in Da Nang, Vietnam, and recently presented at machine learning meetup."
Laura Ta,Operations,"London, UK",Completed Advanced Cybersecurity Training,"Laura Ta is part of the Operations team, based in London, UK, and recently completed advanced cybersecurity training."
Olivia Ta,Marketing,"Hanoi, Vietnam",Participated in Corporate Social Responsibility Event,"Olivia Ta is part of the Marketing team, based in Hanoi, Vietnam, and recently participated in corporate social responsibility event."
Paul Le,Sales,"Ho Chi Minh City, Vietnam",Presented at Internal Innovation Day,"Paul Le is part of the Sales team, based in Ho Chi Minh City, Vietnam, and recently presented at internal innovation day."
Alice Vu,Legal,"Mumbai, India",Joined Team Building Offsite in Da Nang,"Alice Vu is part of the Legal team, based in Mumbai, India, and recently joined team building offsite in da nang."
Paul Hoang,Engineering,"Da Nang, Vietnam",Completed Advanced Cybersecurity Training,"Paul Hoang is part of the Engineering team, based in Da Nang, Vietnam, and recently completed advanced cybersecurity training."
Alice Pham,Engineering,"Seoul, South Korea",Completed Leadership Training Bootcamp,"Alice Pham is part of the Engineering team, based in Seoul, South Korea, and recently completed leadership training bootcamp."
Nathan Luong,Marketing,Singapore,Attended Remote Work Productivity Webinar,"Nathan Luong is part of the Marketing team, based in Singapore, and recently attended remote work productivity webinar."
Isaac Luong,Human Resources,"New Delhi, India",Spoke at the Annual Finance Forum,"Isaac Luong is part of the Human Resources team, based in New Delhi, India, and recently spoke at the annual finance forum."
Victor Le,Finance,"Melbourne, Australia",Joined Team Building Offsite in Da Nang,"Victor Le is part of the Finance team, based in Melbourne, Australia, and recently joined team building offsite in da nang."
George Pham,Human Resources,"Mumbai, India",Completed Emotional Intelligence Training,"George Pham is part of the Human Resources team, based in Mumbai, India, and recently completed emotional intelligence training."
Laura Vu,Customer Success,"Da Nang, Vietnam",Completed Leadership Training Bootcamp,"Laura Vu is part of the Customer Success team, based in Da Nang, Vietnam, and recently completed leadership training bootcamp."
Rachel Do,Management,"New Delhi, India",Presented at Internal Innovation Day,"Rachel Do is part of the Management team, based in New Delhi, India, and recently presented at internal innovation day."
Kevin Bui,Data Science,"Beijing, China",Participated in Regional Hackathon 2024,"Kevin Bui is part of the Data Science team, based in Beijing, China, and recently participated in regional hackathon 2024."
Isaac Trinh,Operations,"New Delhi, India",Participated in Corporate Social Responsibility Event,"Isaac Trinh is part of the Operations team, based in New Delhi, India, and recently participated in corporate social responsibility event."
Kevin Huynh,Engineering,"Melbourne, Australia",Completed Leadership Training Bootcamp,"Kevin Huynh is part of the Engineering team, based in Melbourne, Australia, and recently completed leadership training bootcamp."
Tina Do,Sales,"Mumbai, India",Completed AWS Cloud Practitioner Certification,"Tina Do is part of the Sales team, based in Mumbai, India, and recently completed aws cloud practitioner certification."
Diana Nguyen,Legal,"Paris, France",Volunteered at Community Tech Fair,"Diana Nguyen is part of the Legal team, based in Paris, France, and recently volunteered at community tech fair."
Bob Hoang,Legal,"Mumbai, India",Volunteered at Community Tech Fair,"Bob Hoang is part of the Legal team, based in Mumbai, India, and recently volunteered at community tech fair."
Rachel Huynh,Marketing,"Hanoi, Vietnam",Presented at Machine Learning Meetup,"Rachel Huynh is part of the Marketing team, based in Hanoi, Vietnam, and recently presented at machine learning meetup."
Rachel Truong,Product,"Paris, France",Presented at Internal Innovation Day,"Rachel Truong is part of the Product team, based in Paris, France, and recently presented at internal innovation day."
Bob Ly,Human Resources,"Ho Chi Minh City, Vietnam",Presented at Internal Innovation Day,"Bob Ly is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently presented at internal innovation day."
Paul Pham,Data Science,"Seoul, South Korea",Completed Advanced Cybersecurity Training,"Paul Pham is part of the Data Science team, based in Seoul, South Korea, and recently completed advanced cybersecurity training."
Hannah Ngo,Sales,"Bangalore, India",Completed Emotional Intelligence Training,"Hannah Ngo is part of the Sales team, based in Bangalore, India, and recently completed emotional intelligence training."
Laura Ngo,Human Resources,"Shanghai, China",Joined Global Marketing Summit,"Laura Ngo is part of the Human Resources team, based in Shanghai, China, and recently joined global marketing summit."
Alice Ly,Finance,"London, UK",Presented at Machine Learning Meetup,"Alice Ly is part of the Finance team, based in London, UK, and recently presented at machine learning meetup."
